"","he_id","he"
"1",1,-0.0277290155319497
"2",2,-0.10791519936407
"3",3,-0.0881395585415885
"4",4,-0.143555201604031
"5",5,-0.0472696730052121
"6",6,-0.120662138874177
"7",7,-0.0595984224718996
"8",8,-0.0308933706278913
"9",9,-0.198550136871636
"10",10,-0.155321561254095
"11",11,-0.147338994594757
"12",12,-0.125844937113579
"13",13,-0.115838782275096
"14",14,-0.0738041223981418
"15",15,-0.0884425226831809
"16",16,-0.165689485881012
"17",17,-0.140856663167942
"18",18,-0.189310968460049
"19",19,-0.0935054898192175
"20",20,-0.111442579142749
"21",21,-0.130805690328125
"22",22,-0.186838341390248
"23",23,-0.0258557627350092
"24",24,-0.189561771387234
"25",25,-0.1132384432666
"26",26,-0.0220383250666782
"27",27,-0.0349264131789096
"28",28,-0.101100576508325
"29",29,-0.128691228460521
"30",30,-0.179055006222334
"31",31,-0.0635078862681985
"32",32,-0.1338186566066
"33",33,-0.0984548759926111
"34",34,-0.199098717321176
"35",35,-0.098101126300171
"36",36,-0.173869020913262
"37",37,-0.101506674231496
"38",38,-0.169664009490516
"39",39,-0.0121461695036851
"40",40,-0.101012693517841
"41",41,-0.0473054453008808
"42",42,-0.174059201302007
"43",43,-0.14181917692069
"44",44,-0.199848730713129
"45",45,-0.0715411638934165
"46",46,-0.108884831645992
"47",47,-0.0537444021180272
"48",48,-0.120386323307175
"49",49,-0.193678848238196
"50",50,-0.121682858674321
"51",51,-0.112416499264073
"52",52,-0.101539830877446
"53",53,-0.0723590141278692
"54",54,-0.0912818642240018
"55",55,-0.0288174691889435
"56",56,-0.149820755757391
"57",57,-0.0768474926240742
"58",58,-0.0538705578143709
"59",59,-0.0845637584314682
"60",60,-0.036948085417971
"61",61,-0.10687166527845
"62",62,-0.165491737020202
"63",63,-0.040909180326853
"64",64,-0.199187218269799
"65",65,-0.16015409724554
"66",66,-0.14594575220719
"67",67,-0.160994607729372
"68",68,-0.0138271049596369
"69",69,-0.0446623227442615
"70",70,-0.0238246022793464
"71",71,-0.184459367825184
"72",72,-0.0764840114954859
"73",73,-0.141668796814047
"74",74,-0.141299506330397
"75",75,-0.177914461777546
"76",76,-0.0451816930924542
"77",77,-0.102144533463288
"78",78,-0.0444345800648444
"79",79,-0.0361678097723052
"80",80,-0.10193007288035
"81",81,-0.125457507972606
